ward,AUSPICE,bldg_type,cwelcc_flag,TOTSPACE,subsidy
8,Non Profit Agency,Purpose Built,1,31,1
11,Non Profit Agency,Community/Recreation Centre,0,61,0
14,Non Profit Agency,Public Elementary School,0,16,0
19,Non Profit Agency,Catholic Elementary School,1,118,1
8,Commercial Agency,House,1,25,0
8,Commercial Agency,House,1,32,0
4,Non Profit Agency,Place of Worship,1,16,0
11,Non Profit Agency,Community/Recreation Centre,1,189,0
4,Non Profit Agency,Place of Worship,1,16,0
19,Non Profit Agency,Community/Recreation Centre,1,24,0
9,Non Profit Agency,Public Elementary School,1,16,0
8,Commercial Agency,Place of Worship,0,114,0
19,Commercial Agency,Place of Worship,1,101,0
15,Commercial Agency,House,1,75,0
12,Non Profit Agency,Public Elementary School,0,16,0
12,Commercial Agency,House,0,48,0
7,Non Profit Agency,Other,1,101,0
4,Non Profit Agency,Catholic Elementary School,0,22,0
12,Non Profit Agency,Place of Worship,0,32,0
2,Non Profit Agency,Catholic Elementary School,0,56,0
19,Non Profit Agency,Purpose Built,1,41,1
11,Non Profit Agency,Community/Recreation Centre,1,69,1
8,Commercial Agency,Place of Worship,0,55,0
4,Commercial Agency,House,1,39,0
14,Non Profit Agency,Public High School,1,66,0
15,Non Profit Agency,Public Elementary School,1,176,1
4,Non Profit Agency,Public High School,1,16,0
2,Non Profit Agency,Place of Worship,1,48,0
12,Non Profit Agency,Synagogue,1,83,0
4,Non Profit Agency,Public High School,0,14,0
12,Non Profit Agency,Catholic Elementary School,1,56,1
11,Non Profit Agency,Place of Worship,1,16,0
23,Non Profit Agency,Catholic Elementary School,1,43,1
15,Non Profit Agency,Place of Worship,1,24,1
10,Non Profit Agency,Public Elementary School,1,16,1
11,Non Profit Agency,Community/Recreation Centre,0,31,0
16,Non Profit Agency,Public Elementary School,1,43,1
16,Commercial Agency,High Rise Apartment,1,70,1
3,Commercial Agency,Public (school closed),0,125,0
19,Non Profit Agency,Public Elementary School,1,89,1
2,Commercial Agency,Place of Worship,0,24,0
16,Commercial Agency,Other,1,67,0
12,Non Profit Agency,Purpose Built,1,32,1
3,Commercial Agency,Commercial Building,1,60,0
3,Commercial Agency,Community Rec/Centre - Board Run,1,180,0
16,Commercial Agency,Other,1,69,1
4,Non Profit Agency,Catholic Elementary School,1,43,1
25,Commercial Agency,Purpose Built,1,82,1
9,Non Profit Agency,Public Elementary School,1,168,1
4,Non Profit Agency,Public Elementary School,1,86,1
5,Non Profit Agency,Public Elementary School,1,28,1
11,Non Profit Agency,Other,1,133,1
21,Non Profit Agency,Church,1,49,1
12,Non Profit Agency,Public Elementary School,0,90,1
9,Non Profit Agency,Public Elementary School,1,170,1
3,Non Profit Agency,Catholic Elementary School,1,43,1
24,Commercial Agency,High Rise Apartment,1,52,1
14,Commercial Agency,Place of Worship,1,63,0
16,Non Profit Agency,Public Elementary School,1,58,1
24,Non Profit Agency,Purpose Built,1,142,1
4,Non Profit Agency,House,1,49,1
6,Non Profit Agency,Catholic Elementary School,1,56,1
6,Commercial Agency,High Rise Apartment,1,46,1
18,Non Profit Agency,Public Elementary School,1,71,1
20,Commercial Agency,Place of Worship,0,31,0
6,Non Profit Agency,Synagogue,1,108,0
24,Commercial Agency,High Rise Apartment,1,55,1
20,Non Profit Agency,Purpose Built,1,16,0
4,Commercial Agency,House,1,51,0
13,Non Profit Agency,Place of Worship,1,30,1
19,Commercial Agency,House,1,26,1
17,Non Profit Agency,Place of Worship,1,91,1
3,Non Profit Agency,Public Elementary School,1,80,1
3,Non Profit Agency,Catholic Elementary School,1,30,1
3,Commercial Agency,Purpose Built,0,56,0
20,Non Profit Agency,Public High School,1,56,1
7,Commercial Agency,Other,1,47,1
6,Commercial Agency,Other,1,98,1
19,Non Profit Agency,Low Rise Apartment,1,69,1
4,Non Profit Agency,Catholic Elementary School,1,101,1
23,Non Profit Agency,Catholic Elementary (French),1,103,1
17,Commercial Agency,Place of Worship,0,64,0
18,Commercial Agency,Place of Worship,1,32,0
8,Commercial Agency,Place of Worship,1,60,0
6,Non Profit Agency,Public Elementary School,1,30,1
4,Non Profit Agency,Catholic Elementary School,0,50,0
19,Non Profit Agency,Catholic Elementary School,0,30,0
8,Non Profit Agency,Place of Worship,1,70,0
3,Non Profit Agency,Community/Rec Centre - City,1,16,1
3,Non Profit Agency,Public Elementary School,1,198,1
17,Non Profit Agency,Public Elementary School,1,119,1
14,Non Profit Agency,Public Elementary School,1,151,1
3,Commercial Agency,Commercial Building,1,63,0
10,Other,Purpose Built,1,62,1
12,Commercial Agency,Purpose Built,1,49,0
4,Commercial Agency,House,1,87,0
3,Commercial Agency,Commercial Building,1,78,0
9,Non Profit Agency,High Rise Apartment,1,39,1
